対象ページ,項目,内容,優先度,備考
全ページ,住所,xxx-xxのまま。実住所を入力する,高,index.html / info.html / contact.htmlの3箇所
全ページ,SNSリンク,InstagramとLINEオープンチャットのURLが#のまま,高,ヘッダー・フッター・contact.htmlのサイドバー
menu.html,メニュー価格,全品¥???のまま。価格を入力する,高,セット価格は3品1200円/6品2000円を検討中（第8回試作会議事録より）
contact.html,フォーム送信先,form action="#"のまま。バックエンド未設定,高,Google Forms埋め込みやFormspreeなど要検討
join.html,メンバー写真,6名分がプレースホルダーのまま,中,各メンバーの写真を指定する必要あり
join.html,LINE参加人数,「39人が参加中」の数字が古い可能性,低,定期的に更新するか削除するか要検討
index.html / info.html,営業日情報,毎月手動更新が必要,中,更新手順をマニュアル化すべき
全ページ,Peatixリンク,イベントごとにURLが変わる可能性,中,現在: https://peatix.com/event/4876141/view
全ページ,OGP画像,og:imageが未設定,中,SNSシェア時のサムネイル画像
index.html,Google Maps,埋め込みURLがダミー値の可能性,中,正しい埋め込みコードに差し替え
join.html,お手伝いチラシ画像,3月分の日付入り。汎用化するか毎月更新するか,低,IMG_9028/9030/9079は3月の日程が記載
menu.html,決済手段,「現金のみ」とあるが第8回議事録では「現金＋PayPay」が決定,低,最新方針を確認して反映
about.html / menu.html,画像最適化,一部の元画像が大きい（1〜4MB）。Web用にリサイズ・圧縮推奨,低,表示速度に影響
