ページ,順序,セクション名,セクション内容,使用画像,ポイント数/リンク,ステータス,備考
トップ（index.html）,1,ヘッダー,ロゴ＋ナビ（讃岐おでんとは / おしながき / 営業情報 / 参加する / お問い合わせ）,なし,,共通,全ページ共通
トップ（index.html）,2,ヒーロー,「讃岐おでんを文化にする。」讃岐うどんの出汁で炊き、こんぴら味噌で食べる。,_DSF5363.JPG（CSS背景）,,素案,背景画像をCSS background-imageで設定
トップ（index.html）,3,次回営業日カード,4月19日(土)〜21日(月) / 18:00〜21:30 / コトリ琴平 / 現金のみ,なし,,要更新,毎月更新が必要。22日は作戦会議の注記あり
トップ（index.html）,4,讃岐おでんとは（ビジュアル導入）,写真1枚＋キャッチコピー。about.htmlへの誘導リンク,_DSF5353.JPG,,素案,about.htmlとの重複を排除し導入のみに絞った
トップ（index.html）,5,おしながき（メニューハイライト）,おでん盛り合わせ / 地酒・ドリンク / 季節のおでん の3カード,_DSF5354.JPG / _DSF5349.JPG / _DSF5374.JPG,,素案,menu.htmlへの誘導リンクあり
トップ（index.html）,6,毎月22日は作戦会議,集合写真＋詳細情報（日時・場所・参加費2000円・Peatix申込）,_DSF5404.JPG,https://peatix.com/event/4876141/view,素案,Peatixリンクはイベントごとに更新が必要
トップ（index.html）,7,参加する（要約）,4段階の参加レベル（食べに来る / 作戦会議 / お手伝い / コアメンバー）,なし,,素案,join.htmlへの誘導リンクあり
トップ（index.html）,8,アクセス,Google Maps埋め込み＋住所・最寄り駅・営業日・営業時間,なし,,素案,住所がxxx-xxのまま。要実住所入力
トップ（index.html）,9,フッター,ロゴ / ページリンク / SNSリンク / ©2026,なし,,共通,全ページ共通。InstagramとLINEのリンクが#のまま
讃岐おでんとは（about.html）,1,ページヒーロー,「讃岐おでんとは」タイトル＋サブテキスト,_DSF5353.JPG（CSS背景）,,素案,
讃岐おでんとは（about.html）,2,3つの特徴,交互レイアウトで3つの特徴を紹介（出汁 / 味噌 / みんなで作る文化）,_DSF5309.jpg / _DSF5338.jpg / _DSF5404.JPG,,素案,画像とテキストが左右交互に配置
讃岐おでんとは（about.html）,3,開発の歩み,横型ロードマップ（構想→試作→開業→自走化→文化へ）＋2列コンパクトマイルストーン,なし,,素案,2025.07〜2026.03の9マイルストーン＋「これから」
讃岐おでんとは（about.html）,4,こだわりの素材,京兼醸造（出汁）と山地蒲鉾（練り物）のパートナー紹介カード,_DSF5317.jpg / _DSF5310.jpg,,素案,
おしながき（menu.html）,1,ページヒーロー,「おしながき」タイトル＋サブテキスト,_DSF5353.JPG（CSS背景）,,素案,
おしながき（menu.html）,2,讃岐おでんの食べ方,営業風景写真＋食べ方の説明テキスト,_DSF5363.JPG,,素案,
おしながき（menu.html）,3,おでんメニュー,6品の写真付きカード（盛り合わせ / 大根 / 卵 / こんにゃく / 練り物 / 味噌）,_DSF5354.JPG / _DSF5312.jpg / _DSF5313.jpg / _DSF5314.jpg / _DSF5310.jpg / _DSF5338.jpg,,素案,価格がすべて¥???のまま。要価格入力
おしながき（menu.html）,4,ドリンクメニュー,3品の写真付きカード（金陵 / 出汁割り / ビール・ソフトドリンク）,_DSF5349.JPG / _DSF5309.jpg / _DSF5364.JPG,,素案,価格がすべて¥???のまま。要価格入力
おしながき（menu.html）,5,営業情報への導線,「食べに来ませんか？」＋info.htmlへのCTAボタン,なし,,素案,
営業情報（info.html）,1,ページヒーロー,「営業情報・アクセス」タイトル＋サブテキスト,_DSF5353.JPG（CSS背景）,,素案,
営業情報（info.html）,2,次回営業＋カレンダー,営業カード（4月19-21日）＋4〜6月の営業カレンダー表,なし,,要更新,毎月更新が必要
営業情報（info.html）,3,毎月22日は作戦会議,作戦会議の詳細（日時・場所・参加費・Peatix申込）,なし,https://peatix.com/event/4876141/view,素案,index.htmlの作戦会議セクションと同内容（画像なし版）
営業情報（info.html）,4,アクセス,Google Maps埋め込み＋住所・最寄り駅・駐車場・営業日・決済情報,なし,,素案,住所がxxx-xxのまま。要実住所入力
参加する（join.html）,1,ページヒーロー,「一緒に、讃岐おでんを作りませんか？」タイトル,_DSF5353.JPG（CSS背景）,,素案,
参加する（join.html）,2,プロジェクトとは,テキストのみ。「みんなのおでん屋」のコンセプト説明。DAOの平易な説明,なし,,素案,
参加する（join.html）,3,関わり方いろいろ,5段階の関わり方（★1食べに来る〜★5コアメンバー）。★2にPeatixリンクあり,なし,https://peatix.com/event/4876141/view,素案,
参加する（join.html）,4,お手伝い募集中,3種のお手伝いカード（接客3000pt / 仕込み3000pt / 買い出し1000pt）＋その他4種の関わり方,IMG_9028.png / IMG_9079.png / IMG_9030.png,,素案,チラシ画像は3月分。毎月の更新が必要か要検討
参加する（join.html）,5,貢献ポイント制度,ポイント説明テキスト＋ポイント利用例の画像,IMG_9080.png,,素案,
参加する（join.html）,6,参加の流れ,4ステップ（食べに来る→LINE参加→作戦会議→やりたいことをやる）,なし,https://peatix.com/event/4876141/view,素案,LINE参加人数「39人」は要更新
参加する（join.html）,7,メンバー紹介,6名のコアメンバー（あっきー / 松尾 / 楠木 / 三好 / 聖 / 藤本）,なし（プレースホルダー）,,未完成,メンバー写真が未設定。要写真指定
お問い合わせ（contact.html）,1,ページヒーロー,「お問い合わせ」タイトル＋サブテキスト,_DSF5353.JPG（CSS背景）,,素案,
お問い合わせ（contact.html）,2,フォーム＋サイドバー,左：名前・メール・種類・メッセージの入力フォーム。右：SNS・営業場所・相談例,なし,,素案,フォームのaction属性が#のまま。要バックエンド設定
